timestamp	delay_ms	delay_smooth
1761758189560477	39.852	42.308
1761758189571057	37.648	42.800
1761758189591382	45.234	42.844
1761758189601030	42.866	42.546
1761758189616242	45.876	42.046
1761758189626650	43.757	42.252
1761758189637610	42.604	42.781
1761758189648256	41.134	43.355
1761758189658641	39.078	43.468
1761758189676882	44.474	43.655
1761758189690286	45.135	43.414
1761758189700560	43.395	43.542
1761758189715743	46.362	43.641
1761758189726654	44.739	43.662
1761758189737819	43.467	44.202
1761758189752233	45.033	43.970
1761758189763385	43.593	43.415
1761758189774140	41.343	43.344
1761758189789675	44.481	42.790
1761758189799366	42.149	42.565
1761758189810069	39.585	43.476
1761758189826151	42.689	44.743
1761758189837047	40.820	47.632
1761758189851691	42.490	48.714
1761758189874603	52.578	48.455
1761758189891712	57.699	49.884
1761758189894514	72.489	50.505
1761758189898358	52.164	49.930
1761758189900426	41.884	50.224
1761758189902639	56.445	50.265
1761758189904337	45.795	49.262
1761758189908336	36.938	47.403
1761758189927882	43.760	44.572
1761758189939022	42.899	43.546
1761758189950767	42.545	44.044
1761758189959726	39.108	42.852
1761758189976680	44.181	42.491
1761758189986508	41.902	42.836
1761758190003422	46.871	42.157
1761758190013445	44.521	42.568
1761758190023178	42.186	42.755
1761758190033609	40.387	43.169
1761758190042891	36.969	43.505
1761758190065720	47.010	43.780
1761758190075584	44.410	43.784
1761758190086508	43.255	43.856
1761758190102748	47.544	43.823
1761758190112094	44.650	44.306
1761758190126629	46.907	45.006
1761758190137683	45.243	44.424
1761758190146828	41.858	44.292
1761758190163092	45.216	44.001
1761758190174454	43.968	43.657
1761758190184630	41.185	43.510
1761758190199169	43.094	43.374
1761758190209476	40.341	42.981
1761758190226012	44.105	42.791
1761758190238167	43.178	42.475
1761758190253354	45.550	41.979
1761758190262029	41.311	41.965
1761758190273499	39.967	41.550
1761758190288663	42.051	41.841
1761758190298460	39.009	41.954
1761758190313492	41.047	42.029
1761758190324207	38.943	41.664
1761758190341662	43.246	41.575
1761758190356421	45.238	41.350
1761758190367106	43.926	41.811
1761758190377252	41.898	42.136
1761758190388216	40.422	42.171
1761758190398390	37.719	42.194
