time_s	time_ms	time_ms_smooth
10.291	33.980	36.715
10.321	35.994	36.724
10.351	37.308	36.724
10.379	37.130	36.778
10.405	34.597	36.869
10.446	47.086	36.732
10.471	42.928	36.804
10.487	31.578	36.899
10.518	34.760	36.895
10.551	38.822	36.722
10.577	36.089	36.817
10.601	33.204	36.852
10.633	36.795	36.670
10.664	38.445	36.636
10.684	31.396	36.671
10.717	35.647	36.729
10.748	38.893	36.515
10.775	37.381	36.579
10.800	34.034	36.240
10.832	37.849	35.972
10.862	39.037	36.106
10.883	31.778	36.208
10.915	36.395	36.236
10.947	39.306	36.330
10.972	36.318	36.400
10.997	33.132	37.036
11.029	36.859	37.024
11.060	38.772	37.205
11.081	31.765	37.423
11.113	36.204	37.516
11.144	38.622	37.436
11.170	36.222	37.461
11.197	34.926	37.453
11.228	37.306	37.515
11.259	39.533	37.538
11.286	38.430	37.576
11.310	34.966	37.564
11.356	52.680	37.569
11.370	38.138	37.668
11.395	35.942	37.688
11.429	41.094	37.701
11.458	41.219	37.768
11.480	35.365	37.743
11.508	34.656	37.757
11.539	37.669	37.764
11.571	40.567	37.729
11.590	32.354	37.723
11.624	37.348	37.674
11.654	39.024	37.376
11.680	36.424	37.440
11.707	35.608	36.714
11.737	37.368	36.709
11.767	39.098	36.746
11.789	33.449	36.461
11.820	35.569	36.041
11.852	38.958	35.839
11.877	36.414	35.633
11.903	34.049	35.360
11.935	37.162	35.008
11.965	38.300	34.922
11.985	30.974	34.700
11.991	36.574	34.321
12.017	34.534	34.108
12.049	38.009	33.921
12.076	36.872	33.707
12.087	33.956	33.372
12.127	30.713	33.204
12.141	30.317	33.073
12.182	29.518	32.861
12.184	30.850	32.702
12.200	31.764	32.533
12.242	30.187	32.265
12.258	31.821	31.983
12.299	29.547	31.929
12.315	31.087	31.648
12.356	30.933	31.529
12.359	32.014	31.295
12.372	30.721	31.026
12.413	29.267	30.956
12.431	32.282	30.932
12.474	33.672	30.903
12.474	32.437	30.940
12.486	29.808	30.971
12.529	30.470	30.950
12.531	31.251	30.947
12.544	29.624	30.876
12.586	29.549	30.972
12.589	31.567	30.929
12.604	32.152	30.897
12.646	30.148	30.853
12.662	32.202	30.929
12.700	30.102	30.946
12.703	29.600	30.879
12.718	30.452	30.744
12.760	31.614	30.704
12.762	31.237	30.842
12.776	30.129	30.795
12.817	30.039	30.753
12.821	31.943	30.813
12.833	30.008	30.849
12.875	30.128	30.844
12.877	30.912	30.829
12.893	32.644	30.891
12.932	29.670	30.852
12.935	30.615	30.866
12.949	30.300	30.961
12.993	31.439	30.959
13.009	33.259	30.968
13.046	29.290	30.966
13.049	30.214	31.075
13.065	31.119	31.087
13.107	30.451	31.057
13.123	31.426	31.161
13.164	31.788	31.179
13.166	31.689	31.252
13.180	31.223	31.185
13.222	30.453	31.224
13.225	31.973	31.228
13.237	30.407	31.284
13.279	31.840	31.275
13.282	31.190	31.114
13.297	32.847	31.173
13.336	30.342	31.180
13.339	31.210	31.188
13.355	32.607	31.178
13.396	30.574	31.109
13.412	32.727	31.059
13.454	30.976	30.962
13.468	30.653	30.940
13.510	30.701	31.014
13.512	31.701	30.913
13.526	31.227	30.913
13.567	29.218	30.919
13.583	30.777	30.878
13.625	30.391	30.864
13.627	31.302	30.848
13.640	30.197	30.823
13.682	29.714	30.781
13.684	30.535	30.854
13.697	29.256	30.801
13.742	30.693	30.799
13.758	32.300	30.870
13.797	29.429	30.876
13.800	30.411	30.882
13.816	32.001	30.951
13.857	30.170	31.017
13.874	32.491	30.982
13.914	29.935	30.990
13.929	30.585	30.928
13.972	31.561	30.890
13.974	32.401	30.938
13.988	31.394	30.969
14.029	30.941	31.005
14.032	32.427	31.073
14.045	30.834	31.000
14.087	31.870	31.088
14.090	32.950	31.131
14.102	30.853	31.130
14.143	29.912	31.149
14.146	30.587	31.387
14.159	29.757	31.766
14.200	29.244	31.869
14.204	30.901	31.830
14.219	31.327	31.775
14.260	30.145	31.739
14.277	32.393	31.711
14.318	30.481	31.679
14.334	31.626	31.655
14.376	31.500	31.585
14.378	31.964	31.492
14.391	30.634	31.550
14.441	38.457	31.519
14.443	39.403	31.501
14.451	33.160	31.548
14.490	30.598	31.637
14.492	31.006	31.704
14.506	30.510	31.702
14.547	30.231	31.659
14.550	31.638	31.580
14.563	30.223	31.609
14.604	30.137	31.610
14.607	30.623	31.540
14.623	32.296	31.457
14.661	29.135	31.457
14.664	30.137	31.097
14.679	30.934	30.693
14.722	31.472	30.600
14.724	32.566	30.661
14.737	31.281	30.607
14.778	29.058	30.569
14.794	30.425	30.615
14.836	31.219	30.528
14.839	31.639	30.546
14.852	29.759	30.579
14.893	29.875	30.547
14.896	30.651	30.517
14.909	29.452	30.530
14.950	29.303	30.527
14.954	30.826	30.549
14.970	32.136	30.476
15.008	29.660	30.400
15.010	29.557	30.425
15.026	31.362	30.532
15.068	29.462	30.545
15.083	30.695	30.529
15.121	30.947	30.509
15.133	29.837	30.527
15.148	31.542	30.581
15.188	29.463	30.640
15.190	30.043	31.023
15.206	31.500	31.062
15.247	29.638	31.133
15.263	30.672	31.098
15.305	31.896	31.104
15.307	31.737	31.132
15.321	30.763	31.105
15.362	30.812	31.176
15.365	31.133	31.165
15.378	30.220	31.180
15.419	31.216	31.238
15.423	32.136	31.275
15.445	39.028	31.287
15.476	30.260	31.310
15.482	32.607	31.332
15.495	31.268	31.358
15.537	29.808	31.366
15.552	30.260	31.292
15.594	30.670	31.314
15.597	31.260	31.350
15.610	30.419	31.418
15.651	31.307	31.404
15.654	31.299	31.496
15.670	32.471	31.547
15.709	29.746	31.515
15.711	30.635	31.215
15.727	32.043	31.253
15.769	30.292	31.241
15.784	30.875	31.199
15.826	30.042	31.240
15.843	32.276	31.360
15.884	31.673	31.340
15.887	32.518	31.342
15.899	30.782	31.373
15.942	32.499	31.405
15.944	32.490	31.337
15.957	31.342	31.227
15.998	31.540	31.275
16.000	31.214	31.274
16.016	32.296	31.224
16.055	30.227	31.250
16.058	30.831	31.275
16.075	33.254	31.273
16.115	30.171	31.241
16.130	31.298	31.230
16.173	31.201	31.141
16.189	32.118	31.087
16.227	29.602	30.996
16.229	29.717	30.962
16.245	30.937	30.905
16.288	30.606	30.837
16.302	30.805	30.837
16.344	30.933	30.768
16.347	31.495	30.855
16.360	30.008	30.902
16.402	31.471	30.913
16.404	31.401	30.946
16.418	30.293	30.944
16.459	29.420	30.939
16.461	30.222	30.861
16.477	31.649	30.884
16.516	29.917	30.954
16.519	29.850	30.903
16.534	31.198	30.937
16.577	30.582	30.941
16.593	32.406	30.907
16.634	31.986	30.831
16.638	33.527	30.866
16.649	31.002	30.861
16.690	31.263	30.842
16.693	31.076	30.928
16.706	30.148	30.945
16.748	30.188	30.919
16.751	31.462	30.879
16.763	29.666	30.909
16.806	31.464	30.991
16.808	30.894	30.949
16.821	30.095	30.964
16.863	29.579	30.903
16.866	30.886	30.808
16.881	31.354	30.638
16.923	30.924	30.654
16.939	32.440	30.701
16.977	29.852	30.641
16.980	29.555	30.642
16.995	30.657	30.720
17.037	30.661	30.685
17.040	31.903	30.782
17.053	30.155	30.784
17.094	30.952	30.853
17.097	30.878	30.890
17.110	29.611	30.924
17.151	29.279	30.942
17.155	31.400	31.035
17.170	32.442	31.145
17.209	29.582	31.035
17.211	30.171	31.035
17.228	32.145	31.083
17.269	30.586	31.027
17.285	32.085	30.995
17.327	31.513	30.940
17.329	32.611	30.987
17.342	31.029	30.993
17.384	30.440	31.044
17.400	31.323	31.149
17.443	33.670	31.189
17.446	33.685	31.115
17.456	29.678	31.062
17.498	29.852	31.103
17.501	30.759	31.146
17.513	29.261	31.048
17.556	29.868	31.038
17.558	30.535	31.003
17.574	31.326	30.983
17.615	31.089	30.858
17.618	32.153	30.852
17.632	32.250	30.904
17.670	30.280	30.858
17.673	29.550	30.771
17.689	31.109	30.729
17.730	30.601	30.738
17.732	31.255	30.786
17.745	29.700	30.758
17.787	30.331	30.814
17.790	31.201	30.906
17.804	31.031	30.972
17.845	29.471	30.947
17.847	30.877	31.000
17.863	31.755	30.993
17.902	30.175	31.016
17.905	31.480	31.067
17.921	32.642	31.084
17.962	29.891	31.160
17.977	31.051	31.200
18.019	30.063	31.163
18.035	30.668	31.231
18.077	32.160	31.281
18.079	32.201	31.269
18.092	30.680	31.201
18.135	32.434	31.249
18.137	31.963	31.207
18.152	32.824	31.167
18.192	31.574	31.333
18.194	29.974	31.624
18.213	32.989	31.737
18.252	31.607	31.741
18.254	30.343	31.782
18.270	31.393	31.840
18.311	31.568	31.902
18.313	30.915	31.902
18.326	29.336	31.922
18.368	30.666	31.934
18.371	29.819	31.955
18.387	30.765	31.923
18.430	34.312	31.882
18.439	38.774	31.891
18.450	35.446	31.991
18.485	30.007	31.918
18.491	32.077	31.839
18.505	31.504	31.852
18.546	32.214	31.846
18.549	32.172	31.801
18.564	32.703	31.816
18.603	30.974	31.819
18.609	32.951	31.811
18.622	31.179	31.878
18.663	31.790	31.863
18.666	31.794	31.746
18.681	32.474	31.384
18.720	31.168	31.203
18.723	29.641	31.168
18.738	30.658	31.121
18.779	31.245	31.031
18.782	30.431	30.984
18.798	31.305	30.972
18.840	29.394	30.922
18.855	30.487	30.947
18.897	31.492	30.823
18.899	30.380	30.865
18.915	31.392	30.859
18.957	29.725	30.906
18.973	30.907	30.830
19.011	29.134	30.817
19.016	30.899	30.926
19.029	29.277	30.965
19.075	31.021	30.933
